                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 0.8322,                0.50146,                 0.1244,                0.60362,                  0.466,                0.48408,                 0.2974,                0.56962,                0.58027,                0.06355,                 0.0001,                 0.0001,                 0.0001
                    141,                0.83732,                0.49781,                 0.1283,                0.60344,                0.46737,                0.48343,                 0.2975,                0.56929,                0.58028,                 0.0634,                 0.0001,                 0.0001,                 0.0001
                    142,                0.83162,                0.50013,                  0.123,                0.60607,                0.46902,                0.48462,                0.29825,                0.56871,                0.58022,                0.06333,                 0.0001,                 0.0001,                 0.0001
                    143,                0.84267,                 0.4965,                0.12662,                0.61037,                0.46877,                0.48486,                 0.2983,                0.56798,                0.58017,                0.06302,                 0.0001,                 0.0001,                 0.0001
                    144,                  0.847,                0.49493,                0.12821,                0.60655,                0.47053,                0.48604,                 0.2987,                0.56866,                0.57973,                0.06331,                 0.0001,                 0.0001,                 0.0001
                    145,                0.82639,                0.50021,                0.12464,                0.60787,                0.47162,                0.48617,                  0.299,                0.56881,                 0.5794,                 0.0633,                 0.0001,                 0.0001,                 0.0001
                    146,                0.83793,                0.49711,                 0.1267,                0.61034,                  0.473,                0.48743,                 0.2996,                0.56835,                0.57973,                 0.0633,                 0.0001,                 0.0001,                 0.0001
                    147,                 0.8292,                0.49796,                 0.1237,                0.60756,                0.47427,                 0.4866,                0.29923,                0.56806,                0.57951,                0.06321,                 0.0001,                 0.0001,                 0.0001
                    148,                0.83335,                0.49804,                0.12534,                0.60648,                0.47557,                0.48762,                0.29964,                0.56789,                0.57902,                0.06323,                 0.0001,                 0.0001,                 0.0001
                    149,                0.83406,                0.49454,                0.12692,                0.60658,                0.47574,                0.48804,                0.29987,                0.56754,                0.57896,                0.06304,                 0.0001,                 0.0001,                 0.0001
                    150,                0.82513,                 0.5002,                0.12233,                0.61174,                0.47556,                0.48851,                0.30015,                0.56723,                 0.5791,                0.06299,                 0.0001,                 0.0001,                 0.0001
                    151,                 0.8311,                0.49796,                0.12484,                0.61112,                0.47731,                0.48933,                0.30085,                0.56662,                0.57927,                0.06286,                 0.0001,                 0.0001,                 0.0001
                    152,                0.82259,                0.49877,                0.12391,                0.61263,                0.47735,                0.48931,                0.30061,                0.56605,                0.57948,                0.06285,                 0.0001,                 0.0001,                 0.0001
                    153,                0.83089,                0.49542,                0.12581,                 0.6128,                0.47742,                0.48989,                 0.3012,                0.56619,                0.57958,                0.06308,                 0.0001,                 0.0001,                 0.0001
                    154,                0.83159,                0.49771,                0.12488,                0.61868,                0.47558,                 0.4897,                0.30127,                0.56573,                0.57941,                0.06321,                 0.0001,                 0.0001,                 0.0001
